Centers ROI,Top-Level ROI
Bin Width (nm),0.100
Maximum Distance (nm),10.000
Bin Count,100

Center Ion Count,4070457

Center Ion(s),Cr

Neighbor Ion(s),Si,Cr,Fe,V,Mn,H
Bulk Ion Counts,50077,4070457,7427465,3095,7366,2696
Bulk Concentration (ionic %),0.4331487266498264,35.20804493945069,64.2450028353566,0.026770679333450738,0.06371335184820619,0.023319467361222354
Bulk Density (ions/nm^3),0.12323006127420823,10.016627703816718,18.27759184979206,0.007616211826660432,0.018126338066294264,0.006634348007973029

,Total Counts
Distance (nm),Si,Cr,Fe,V,Mn,H
6.500,0.44047177598351045,35.148636499098345,64.2972861393197,0.02666814702397365,0.0641876945120901,0.022749744062380794
6.600,0.44036337238797174,35.14777981739447,64.29831136798504,0.0266881807799842,0.06416907308618074,0.02268818836635525
6.700,0.4404022560097126,35.14789589907005,64.2980273328309,0.026667100506880974,0.0642685621180897,0.022738849464370225
6.800,0.44043068871860047,35.15076321406116,64.29527334361381,0.02665626928081091,0.06417903660068953,0.022697447724930517
6.900,0.44030984810378393,35.15108178339625,64.29499545470154,0.02665730441866865,0.0642421138344401,0.022713495545322496
7.000,0.4403477717055592,35.151888105390945,64.29421143583204,0.02666266356339828,0.06420953114968284,0.022680492358377893
7.100,0.44038519184348474,35.151425608969824,64.29458899011537,0.026674771113776658,0.06423416226143389,0.022691275696109993
7.200,0.4403205896166309,35.14972199276507,64.29638874964503,0.026665942373903493,0.06422272725112173,0.022679998348233074
7.300,0.4402374925821496,35.15073815093929,64.29542422456733,0.0266668221295382,0.06427436438832689,0.022658945393355848
7.400,0.4403356444204263,35.15267315816313,64.29339849031919,0.0266485138504948,0.06427887088749028,0.022665322359261872
7.500,0.44035507597083234,35.152406491525774,64.29357389354429,0.026706315599517694,0.06428816702804085,0.022670056331544078
7.600,0.4403527654655831,35.15090353973455,64.29511270900734,0.026686064948780647,0.06428674977850764,0.02265817106523452
7.700,0.44011963891215844,35.15157822997443,64.29464741234695,0.026685074404416392,0.06430888373899428,0.02266076062305193
7.800,0.4403303359880334,35.151740312818106,64.29427136773343,0.026694194765374143,0.06432181912176288,0.022641969573304783
7.900,0.4401376471129393,35.15175803872126,64.29446010566222,0.02667619149698758,0.06434910238884174,0.022618914617748422
8.000,0.44019042975185063,35.151510195255,64.29467795994562,0.026663509871280994,0.06435163084223015,0.02260627433402509
8.100,0.44009032153906186,35.150310423467815,64.29599241831767,0.026652910040803914,0.06435040248629283,0.022603524148365226
8.200,0.44012941072131734,35.15097777643083,64.29523922251423,0.02662292933207315,0.06441809420061052,0.02261256680094238
8.300,0.4400429722702966,35.149662908404004,64.29667877696156,0.02667708775416365,0.0643685198446647,0.022569734765312637
