Centers ROI,Top-Level ROI
Bin Width (nm),0.200
Maximum Distance (nm),10.000
Bin Count,50

Center Ion Count,4088163

Center Ion(s),Cr

Neighbor Ion(s),Si,Cr,Fe,V,Mn,H
Bulk Ion Counts,50330,4088163,7380469,3225,7449,1836
Bulk Concentration (ionic %),0.43645772196298965,35.452221537718685,64.0028350240108,0.027966941254334222,0.06459713035768547,0.01592164469549074
Bulk Density (ions/nm^3),0.13100902720656374,10.641491311183533,19.21136626302802,0.008394677384088377,0.01938975250668971,0.004779109357267057

,Total Counts
Distance (nm),Si,Cr,Fe,V,Mn,H
7.200,0.11652940770258709,9.427730719774814,17.049847113528934,0.007513013142981201,0.017296722734471498,0.004113593174039971
7.400,0.11579411640608017,9.369733932604419,16.945530817575786,0.0074656735814431375,0.017186602417566556,0.004086739765990884
7.600,0.11505820550442873,9.311964257895838,16.841823337948263,0.007419146210092161,0.017088557814760874,0.0040575263989570684
7.800,0.11427083697077955,9.25406867162178,16.739491500267636,0.007373079583988606,0.016981336344682477,0.004032897310965497
8.000,0.11356251526691818,9.19637256307611,16.63719899370423,0.007328374513503736,0.01687978613328718,0.00400942578429091
8.200,0.11280977856474089,9.13985412510814,16.536168899127432,0.007276102550924619,0.01677720528567011,0.003977856696426168
8.400,0.11211314913453317,9.083715192149873,16.435333412149138,0.0072431218370655895,0.016678882413224183,0.003948977701441
8.600,0.11137310440918338,9.027501095883231,16.335837006598066,0.007197026749268941,0.016571990945170294,0.00392200009300128
8.800,0.11068828216311667,8.97251289407763,16.236821742683066,0.007154195698589888,0.016479567318945412,0.0038969139334598833
9.000,0.10995905736340321,8.917781153215689,16.13907529873199,0.007106605777537626,0.016385327382969456,0.003875958830227747
9.200,0.10928844266915043,8.864233126723978,16.041766324445067,0.007062513432339423,0.016284072408997555,0.0038474020921731573
9.400,0.10859249370491972,8.810182440728875,15.945454570573233,0.007020959979155672,0.01619161394245739,0.003826251091221917
9.600,0.10791811093607342,8.756923752007554,15.849369718970552,0.006978999773081002,0.01609143681741206,0.003799259610584533
9.800,0.10725378586478544,8.704108608522615,15.754210117350416,0.006939718658793025,0.01599776631540066,0.003775376379048885

,Bulk Normalized Concentration
Distance (nm),Si,Cr,Fe,V,Mn,H
0.000,1.0023859360271332,1.0721905960517761,0.9599561052629063,1.009516425646121,1.0335845503665524,1.0080904525772632
0.200,1.0080195210578673,1.053062592037849,0.9705343482654833,0.992787118106087,1.029924163913559,0.9665237965366904
0.400,1.0119131886458448,1.037517826700099,0.9791185699843838,1.0067248641837196,1.0208432019521076,0.9777867468897792
0.600,1.014548249286145,1.0250084328141538,0.9860315700232822,0.9983353869639822,1.0201838894044222,0.9879193362330636
0.800,1.0145893420991314,1.016392131345504,0.9908063730636291,1.0049576986995452,1.0148145185734685,0.9885349829045105
1.000,1.015446333074762,1.0105827622655663,0.9940232829359985,1.010006437676385,1.0080750019436089,0.9875176939610466
1.200,1.0143378291476088,1.006873242837199,0.9960899244701632,1.0076230788033993,1.0018342817477954,0.9996640760833917
1.400,1.0148937185698563,1.0047601732438551,0.9972562526579203,1.0075926804744217,1.0030125741761762,0.9963236153292708
